PLAN DE ESTUDIOS,NRC,CONECTOR  LIGA,LISTA CRUZADA,MATERIA,CURSO,SECC.,TITULO,CREDITO,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,INICIO,FIN,SALA,TIPO,PROFESOR
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,08:30 -10:20,,,08:30 -10:20,,,2/3/2022,22/06/2022,R-14,CLAS,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,14:30 -16:20,,,,,,7/3/2022,22/06/2022,,AYUD,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,,,19:30 -21:20,,,24/03/2022,24/03/2022,,PRBA 1,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3790,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,,,,19:30 -21:20,,,24/03/2022,24/03/2022,,PRBA 1,SANCHEZ/CANCINO LEONARDO FRANCISCO
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,08:30 -12:20,,,,,2/3/2022,22/06/2022,,CLAS,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,09:30 -11:20,,,,,28/06/2022,28/06/2022,,EXAM,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,,15:30 -17:20,,,,7/3/2022,22/06/2022,,AYUD,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3790,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,08:30 -10:20,,,,,,2/3/2022,22/06/2022,,CLAS,SANCHEZ/CANCINO LEONARDO FRANCISCO
PE2016,3790,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,14:30 -16:20,,,,,,7/3/2022,22/06/2022,,AYUD,SANCHEZ/CANCINO LEONARDO FRANCISCO
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,19:30 -21:20,,,,,,11/4/2022,11/4/2022,,PRBA 2,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3790,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,19:30 -21:20,,,,,,11/4/2022,11/4/2022,,PRBA 2,SANCHEZ/CANCINO LEONARDO FRANCISCO
PE2016,3790,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,,08:30 -12:20,,,,,2/3/2022,22/06/2022,R-11,CLAS,SANCHEZ/CANCINO LEONARDO FRANCISCO
PE2016,3790,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,,09:30 -11:20,,,,,28/06/2022,28/06/2022,,EXAM,SANCHEZ/CANCINO LEONARDO FRANCISCO
